X,Y,OBJECTID,BBL_LICENSE_FACT_ID,LICENSESTATUS,LICENSECATEGORY,CUST_NUM,TRADE_NAME,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_ISSUE_DATE,AGENT_PHONE,LASTMODIFIEDDATE,CITY,STATE,SITEADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
-77.006181414,38.8975462563,8122,7.445519876263e-319,CANCELLED,General Business Licenses,71102561,OLDE MILL COMPANY INC,2013/04/01 00:00:00+00,2015/03/31 00:00:00+00,2014/06/02 00:00:00+00,2029999999,2015/01/13 06:52:30+00,WASHINGTON,DC,50 MASSACHUSETTS AVENUE NE,38.8975388031501,-77.0061791287365,399463.98,136632.07,20002,293243,130220,6.43372284014471e-319,6,6C,6C05,FIRST,103,25,NONE,NONE,NONE,CAPITOL HILL BID
-77.006181414,38.8975462563,8124,7.44561868939217e-319,CANCELLED,General Business Licenses,71102563,OLDE MILL COMPANY INC,2013/04/01 00:00:00+00,2015/03/31 00:00:00+00,2014/06/02 00:00:00+00,2029999999,2015/01/13 06:52:30+00,WASHINGTON,DC,50 MASSACHUSETTS AVENUE NE,38.8975388031501,-77.0061791287365,399463.98,136632.07,20002,293243,130220,6.43372284014471e-319,6,6C,6C05,FIRST,103,25,NONE,NONE,NONE,CAPITOL HILL BID
-77.006181414,38.8975462563,8125,7.44566809595675e-319,CANCELLED,General Business Licenses,71102564,OLDE MILLCOMPANY INC,2013/04/01 00:00:00+00,2015/03/31 00:00:00+00,2014/06/02 00:00:00+00,2028420540,2015/01/13 06:52:30+00,WASHINGTON,DC,50 MASSACHUSETTS AVENUE NE,38.8975388031501,-77.0061791287365,399463.98,136632.07,20002,293243,130220,6.43372284014471e-319,6,6C,6C05,FIRST,103,25,NONE,NONE,NONE,CAPITOL HILL BID
-77.0242012404,38.9173483164,8600,7.46454140362789e-319,EXPIRED,Cigarette Retail,66000746,BI MEI LI,2012/02/01 00:00:00+00,2014/01/31 00:00:00+00,2014/04/28 00:00:00+00,,2014/04/30 06:47:16+00,WASHINGTON,DC,2008 9TH STREET NW,38.917340859903,-77.024198948345,397901.4,138830.52,20001,239458,82234,4.06289943201091e-319,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
-77.0702905873,38.9551875224,8605,7.46478843645081e-319,EXPIRED,Cigarette Retail,66001118,CLOVER MARKET,2012/02/01 00:00:00+00,2014/01/31 00:00:00+00,2014/04/28 00:00:00+00,2023631717,2015/09/02 06:47:03+00,WASHINGTON,DC,5014 CONNECTICUT AVENUE NW,38.9551800599632,-77.0702882787886,393907.64,143033.07,20008,262734,105900,5.2321551894588e-319,3,3F,3F05,SECOND,203,10,NONE,NONE,NONE,NONE
-77.0345497659,38.9307376654,9088,7.49299958482835e-319,CANCELLED,Cigarette Retail,69008998,LALOS MARKET INC ,2013/10/01 00:00:00+00,2015/09/30 00:00:00+00,2014/02/28 00:00:00+00,2027977636,2015/01/13 06:52:14+00,WASHINGTON,DC,1458 PARK ROAD NW,38.9307302065611,-77.0345474699118,397004.51,140317.14,20010,234378,77695,3.83864303536357e-319,1,1A,1A05,THIRD,302,2,NONE,NONE,NONE,NONE
-76.9976128196,38.8452789092,9101,7.49364187016794e-319,EXPIRED,Cigarette Retail,70100078,MART LIQUORS,2012/01/01 00:00:00+00,2013/12/31 00:00:00+00,2014/04/28 00:00:00+00,2025621400,2015/09/02 06:47:08+00,WASHINGTON,DC,2931 MARTIN LUTHER KING JR AVENUE SE,38.8452714662879,-76.9976105401642,400207.43,130829.99,20032,43001,28532,1.40966810071424e-319,8,8C,8C02,SEVENTH,707,39,NONE,NONE,NONE,NONE
-76.9917981893,38.8934502977,9103,7.49374068329711e-319,EXPIRED,Cigarette Retail,70100227,YOUNG'S MARKET,2012/01/01 00:00:00+00,2013/12/31 00:00:00+00,2014/04/28 00:00:00+00,7039630350,2015/09/02 06:47:08+00,WASHINGTON,DC,250 11TH STREET NE,38.8934428448368,-76.9917959087108,400711.72,136177.4,20002,46670,24702,1.22044095835705e-319,6,6A,6A03,FIRST,107,25,NONE,NONE,NONE,NONE
-77.0522784419,38.9241426672,9111,7.49413593581378e-319,CANCELLED,Cigarette Retail,70101457,DISTRICT OF COLUMBIA CVS PHARMACY LLC,2012/03/01 00:00:00+00,2014/02/28 00:00:00+00,2014/02/03 00:00:00+00,2025723100,2015/01/13 06:52:18+00,WASHINGTON,DC,2616 CONNECTICUT AVENUE NW,38.9241352103698,-77.0522761408442,395466.9,139585.77,20008,219092,62505,3.08815731933071e-319,3,3C,3C02,SECOND,204,15,NONE,NONE,NONE,NONE
-77.0273030793,38.9525852293,8170,7.44789139136304e-319,CANCELLED,Delicatessen,930512000015,MOVE AND GROOVE LLC,2011/11/01 00:00:00+00,2013/10/31 00:00:00+00,2014/06/24 00:00:00+00,2022102163,2014/06/26 06:46:09+00,WASHINGTON,DC,5119 GEORGIA AVENUE NW,38.952577765838,-77.0273007841404,397633.57,142742.2,20011,251740,94717,4.67964157771453e-319,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,NONE
-76.9887664384,38.9146754386,8171,7.44794079792762e-319,EXPIRED,Delicatessen,930512000020,"ELBO, INC.",2011/12/01 00:00:00+00,2013/11/30 00:00:00+00,2014/04/28 00:00:00+00,2026679473,2014/04/30 06:47:25+00,WASHINGTON,DC,1230 NEW YORK AVENUE NE,38.9146679812642,-76.988764157402,400974.44,138533.59,20002,285959,124799,6.16588985353417e-319,5,5B,5B09,FIFTH,505,22,NONE,NONE,NONE,NONE
-77.0003257429,38.9203540194,8613,7.46518368896748e-319,CANCELLED,Cigarette Retail,66001902,EDGEWOOD LIQUORS,2012/03/01 00:00:00+00,2014/02/28 00:00:00+00,2014/03/25 00:00:00+00,2025488000,2015/01/13 06:51:48+00,WASHINGTON,DC,2303 4TH STREET NE,38.9203465613737,-77.0003234580682,399971.95,139163.9,20002,289563,128457,6.3466190667829e-319,5,5C,5C08,FIFTH,502,21,NONE,NONE,NONE,NONE
-77.0483352919,38.903587966,8617,7.46538131522582e-319,EXPIRED,Cigarette Retail,66002731,"LINCOLN 2142, LLC",2012/04/01 00:00:00+00,2014/03/31 00:00:00+00,2014/06/06 00:00:00+00,2024620600,2015/09/02 06:47:04+00,WASHINGTON,DC,2142 L STREET NW,38.9035801798367,-77.0483329931085,395807.62,137303.84,20037,302238,184339,9.10755670887295e-319,2,2A,2A06,SECOND,207,6,NONE,NONE,NONE,NONE
-77.024278775,38.9049530914,8618,7.4654307217904e-319,EXPIRED,Cigarette Retail,66002848,"TG CIGARS, INC.",2012/04/01 00:00:00+00,2014/03/31 00:00:00+00,2014/06/06 00:00:00+00,2024978008,2015/09/02 06:47:04+00,WASHINGTON,DC,1118 9TH STREET NW,38.9049456373838,-77.024276483754,397894.31,137454.55,20001,226407,69737,3.4454655944031e-319,2,2C,2C03,THIRD,307,8,NONE,NONE,NONE,NONE
-76.970590351,38.8729904576,8620,7.46552953491957e-319,EXPIRED,Cigarette Retail,66002905,PENN AVE SHELL,2012/05/01 00:00:00+00,2014/04/30 00:00:00+00,2014/06/06 00:00:00+00,2029999999,2015/09/02 06:47:04+00,WASHINGTON,DC,2501 PENNSYLVANIA AVENUE SE,38.8729830080236,-76.9705880780818,402552.27,133906.58,20020,46734,24934,1.23190328134056e-319,7,7A,7A07,SIXTH,607,34,NONE,NONE,NONE,NONE
-77.0504060236,38.8979461457,8635,7.46627063338833e-319,EXPIRED,Cigarette Retail,66006695,WOON KIM & ASSOCIATES PC,2012/11/01 00:00:00+00,2014/10/31 00:00:00+00,2014/12/17 00:00:00+00,2022429513,2015/09/02 06:47:04+00,WASHINGTON,DC,616 23RD STREET NW,38.8979386940414,-77.0504037247528,395627.66,136677.65,20037,291182,130017,6.42369330753414e-319,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,NONE
-77.0324241775,38.9005009865,9113,7.49423474894295e-319,CANCELLED,Cigarette Retail,70101536,CITY CENTER LOBBY SHOP,2012/03/01 00:00:00+00,2014/02/28 00:00:00+00,2014/02/12 00:00:00+00,2027525331,2014/02/14 06:45:21+00,WASHINGTON,DC,1401 H STREET NW,38.9004935337221,-77.0324218839674,397187.62,136960.55,20005,217998,61135,3.02047032585046e-319,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0196366419,38.8999901793,9133,7.49522288023463e-319,EXPIRED,Cigarette Retail,70102336,CAPITOL HEMP LLC,2012/03/01 00:00:00+00,2014/02/28 00:00:00+00,2014/04/28 00:00:00+00,2023328191,2015/09/02 06:47:08+00,WASHINGTON,DC,519 H STREET NW,38.8999827261481,-77.0196343523102,398296.84,136903.53,20001,238935,82244,4.06339349765675e-319,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0171618053,38.8776215047,9134,7.49527228679921e-319,CANCELLED,Cigarette Retail,70102479,SAFEWAY INC,2012/03/01 00:00:00+00,2014/02/28 00:00:00+00,2014/04/02 00:00:00+00,9999999999,2015/01/13 06:52:19+00,WASHINGTON,DC,1100 4TH STREET SW,38.8776140559379,-77.0171595179082,398511.05,134420.39,20024,307170,374805,1.65201718131229e-318,6,6D,6D03,FIRST,105,9,NONE,NONE,NONE,NONE
-76.9983597577,38.8442833988,8182,7.44848427013805e-319,EXPIRED,Barber Chair,54000419,MCKOY MARY E,2012/03/01 00:00:00+00,2014/02/28 00:00:00+00,2014/04/28 00:00:00+00,00,2014/04/30 06:47:15+00,WASHINGTON,DC,3027 MARTIN LUTHER KING JR AVENUE SE,38.8442759561095,-76.9983574780557,400142.59,130719.48,20032,278311,120424,5.94973613347863e-319,8,8C,8C03,SEVENTH,707,39,NONE,NONE,NONE,NONE
-77.0204887003,38.8996223117,8201,7.44942299486515e-319,ACTIVE,General Business Licenses,71101003,CHINATOWN TRAVEL SERVICES INC,2015/02/01 00:00:00+00,2017/01/31 00:00:00+00,2014/12/04 00:00:00+00,2029999999,2014/12/10 14:26:30+00,WASHINGTON,DC,606 H STREET NW,38.8996148586222,-77.0204864104921,398222.92,136862.71,20001,238708,81993,4.05099244994613e-319,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0312999439,38.9010353988,8202,7.44947240142973e-319,ACTIVE,General Business Licenses,71101004,"CAPITAL SEGWAY, LLC",2015/02/01 00:00:00+00,2017/01/31 00:00:00+00,2014/12/12 00:00:00+00,2029651064,2014/12/15 06:45:42+00,WASHINGTON,DC,1350 I STREET NW,38.9010279458485,-77.0312976506616,397285.16,137019.84,20005,240651,83665,4.13360022593079e-319,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0221732605,38.9169037973,8641,7.46656707277584e-319,ACTIVE,Cigarette Retail,66007449,HUA AND CAO INCORPORATED,2012/12/01 00:00:00+00,2014/11/30 00:00:00+00,2014/11/21 00:00:00+00,2024628740,2014/11/24 06:46:28+00,WASHINGTON,DC,2016 GEORGIA AVENUE NW,38.9168963408246,-77.0221709691435,398077.26,138781.13,20001,232289,75283,3.71947440158666e-319,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
-77.0346081393,38.9307697177,8642,7.46661647934042e-319,ACTIVE,Cigarette Retail,66007475,MAJANO'S CORPORATION ,2014/12/01 00:00:00+00,2016/11/30 00:00:00+00,2014/11/28 00:00:00+00,2026671840,2014/12/10 14:26:29+00,WASHINGTON,DC,1460 PARK ROAD NW,38.930762258869,-77.0346058432677,396999.45,140320.7,20010,234395,77712,3.8394829469615e-319,1,1A,1A05,THIRD,302,2,NONE,NONE,NONE,NONE
-77.042362009,38.9059287632,8644,7.46671529246959e-319,ACTIVE,Cigarette Retail,66007508,19TH & K INC,2014/12/01 00:00:00+00,2016/11/30 00:00:00+00,2014/10/24 00:00:00+00,2022961000,2015/01/13 06:51:52+00,WASHINGTON,DC,1813 M STREET NW,38.9059213096369,-77.0423597121276,396325.86,137563.43,20036,243139,86121,4.2549427485494e-319,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-76.9997300268,38.8895551842,8647,7.46686351216334e-319,ACTIVE,Cigarette Retail,66007671,"PARK & SONG, INC",2014/12/01 00:00:00+00,2016/11/30 00:00:00+00,2014/11/21 00:00:00+00,2023740388,2015/01/13 06:51:52+00,WASHINGTON,DC,421 EAST CAPITOL STREET SE,38.8895477323607,-76.9997277439773,400023.62,135744.98,20003,25551,15160,7.4900351909533e-320,6,6B,6B01,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
-77.012417743,38.9168654246,8649,7.46696232529251e-319,ACTIVE,Cigarette Retail,66007724,NEW RESERVOIR MARKET,2014/12/01 00:00:00+00,2016/11/30 00:00:00+00,2014/11/21 00:00:00+00,2025488000,2014/11/24 06:46:28+00,WASHINGTON,DC,1942 1ST STREET NW,38.9168579677452,-77.0124154546018,398923.29,138776.71,20001,227484,70485,3.48242170471203e-319,5,5C,5C04,FIFTH,501,21,NONE,NONE,NONE,NONE
-81.5291921333,37.5772691877,8650,7.4670117318571e-319,ACTIVE,Cigarette Retail,66007774,SISAY BIRKE,2014/12/01 00:00:00+00,2016/11/30 00:00:00+00,2014/09/23 00:00:00+00,,2014/09/24 06:45:39+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
-76.9787083164,38.895002319,8652,7.46711054498626e-319,CANCELLED,Cigarette Retail,66007891,"LINDA'S MARKET, INC. ",2013/01/01 00:00:00+00,2014/12/31 00:00:00+00,2014/03/12 00:00:00+00,2022234582,2015/01/13 06:51:53+00,WASHINGTON,DC,1804 D STREET NE,38.8949948653133,-76.9787060396595,401847.25,136349.87,20002,56044,33291,1.64479394157009e-319,6,6A,6A08,FIFTH,507,25,NONE,NONE,NONE,NONE
-77.0277702466,38.9171714098,8654,7.46720935811543e-319,ACTIVE,Cigarette Retail,67000019,NAYOLA ALLEN,2015/01/01 00:00:00+00,2016/12/31 00:00:00+00,2014/11/21 00:00:00+00,2022323234,2014/11/24 06:46:28+00,WASHINGTON,DC,1115 U STREET NW,38.9171639534322,-77.0277679534703,397591.88,138810.97,20009,309088,409975,1.74351813892209e-318,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
-76.9722190638,38.9169726844,8656,7.4673081712446e-319,ACTIVE,Cigarette Retail,67000094,MOSTAFA SADEGH,2015/01/01 00:00:00+00,2016/12/31 00:00:00+00,2014/12/17 00:00:00+00,2023681193,2015/01/13 06:51:53+00,WASHINGTON,DC,1925 BLADENSBURG ROAD NE,38.9169652260245,-76.972216787761,402409.45,138788.91,20002,286540,125367,6.19395278221796e-319,5,5B,5B09,FIFTH,503,23,NONE,NONE,NONE,NONE
-77.038289756,38.9305510188,8657,7.46735757780918e-319,ACTIVE,Cigarette Retail,67000161,"MYUNGJOON, INC",2015/01/01 00:00:00+00,2016/12/31 00:00:00+00,2014/11/19 00:00:00+00,2023740388,2014/11/20 06:45:31+00,WASHINGTON,DC,3170 MOUNT PLEASANT STREET NW,38.9305435601318,-77.0382874588375,396680.22,140296.55,20010,236464,79787,3.94200156847355e-319,1,1D,1D04,FOURTH,408,2,NONE,NONE,NONE,NONE
-76.9319248888,38.890632479,8658,7.46740698437377e-319,ACTIVE,Cigarette Retail,67000441,"FIKRE MARKET, INC.",2015/01/01 00:00:00+00,2016/12/31 00:00:00+00,2014/12/15 00:00:00+00,2027231860,2015/01/13 06:51:53+00,WASHINGTON,DC,4920 CENTRAL AVENUE NE,38.8906250244103,-76.931922626706,405906.07,135866.77,20019,16223,8503,4.20104018658812e-320,7,7C,7C03,SIXTH,608,33,NONE,NONE,NONE,NONE
-76.9839369084,38.8996128252,8659,7.46745639093835e-319,ACTIVE,Cigarette Retail,67000470,NEW YORK LIQUORS ,2015/01/01 00:00:00+00,2016/12/31 00:00:00+00,2014/12/29 00:00:00+00,2029999999,2016/06/10 06:45:25+00,WASHINGTON,DC,1447 MARYLAND AVENUE NE,38.8996053708061,-76.9839346298174,401393.58,136861.58,20002,63004,38880,1.92092723103077e-319,6,6A,6A06,FIRST,108,25,NONE,NONE,NONE,NONE
-77.0222075884,38.8990205993,8662,7.46760461063211e-319,ACTIVE,Cigarette Retail,67000735,ROCKET BAR,2015/02/01 00:00:00+00,2017/01/31 00:00:00+00,2014/12/12 00:00:00+00,2023375550,2014/12/15 06:45:40+00,WASHINGTON,DC,714 7TH STREET NW,38.8990131464456,-77.0222052980716,398073.8,136795.95,20001,238420,81711,4.03705979873341e-319,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0264746479,38.9473564756,8664,7.46770342376127e-319,CANCELLED,Cigarette Retail,67000845,LAAM LLC,2013/02/01 00:00:00+00,2015/01/31 00:00:00+00,2014/04/18 00:00:00+00,2025458880,2015/01/13 06:51:53+00,WASHINGTON,DC,4701 GEORGIA AVENUE NW,38.9473486798651,-77.0264723532283,397705.21,142161.74,20011,252099,95289,4.70790213265665e-319,4,4D,4D06,FOURTH,407,18,NONE,NONE,NONE,NONE
-81.5291921333,37.5772691877,9195,7.51814752620166e-319,EXPIRED,Gen Contr-Construction Mngr,410512000071,CUMES BUILDERS INC,2011/12/01 00:00:00+00,2013/11/30 00:00:00+00,2014/04/28 00:00:00+00,2405939322,2014/04/30 06:47:10+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
